         132469137 function calls (132468628 primitive calls) in 546.841 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     27/1    0.001    0.000  546.841  546.841 {built-in method builtins.exec}
        1    0.005    0.005  546.841  546.841 main.py:1(<module>)
        1    0.000    0.000  546.778  546.778 main.py:17(main)
        1   35.377   35.377  546.728  546.728 etl_manager.py:14(run)
 10000001   84.202    0.000  309.977    0.000 csv_reader.py:16(read)
       81    0.823    0.010  180.569    2.229 etl_manager.py:44(_flush)
 10000004  101.005    0.000  179.851    0.000 uuid.py:142(__init__)
       81   26.575    0.328  178.408    2.203 sqlite_writer.py:44(write_batch)
       81   95.257    1.176   95.257    1.176 {method 'executemany' of 'sqlite3.Cursor' objects}
 30000015   39.996    0.000   39.996    0.000 {method 'replace' of 'str' objects}
       82   26.986    0.329   26.986    0.329 {method 'commit' of 'sqlite3.Connection' objects}
 10000000   26.434    0.000   26.434    0.000 <string>:2(__init__)
18001016/18000948   22.885    0.000   22.886    0.000 {built-in method builtins.len}
 10000000   18.431    0.000   18.431    0.000 {built-in method fromtimestamp}
  8000032   14.832    0.000   14.832    0.000 uuid.py:283(__str__)
  8000032   14.759    0.000   14.759    0.000 {method 'isoformat' of 'datetime.datetime' objects}
 10000004   13.285    0.000   13.285    0.000 {method 'count' of 'list' objects}
 10000004   12.983    0.000   12.983    0.000 {method 'strip' of 'str' objects}
  8000915   10.480    0.000   10.480    0.000 {method 'append' of 'list' objects}
       81    1.338    0.017    1.338    0.017 {method 'clear' of 'list' objects}
   222680    0.637    0.000    1.060    0.000 <frozen codecs>:322(decode)
   222680    0.423    0.000    0.423    0.000 {built-in method _codecs.utf_8_decode}
     47/5    0.001    0.000    0.058    0.012 <frozen importlib._bootstrap>:1349(_find_and_load)
     47/5    0.000    0.000    0.057    0.011 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    93/13    0.000    0.000    0.053    0.004 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     39/8    0.000    0.000    0.053    0.007 <frozen importlib._bootstrap>:911(_load_unlocked)
     24/5    0.000    0.000    0.052    0.010 <frozen importlib._bootstrap_external>:1017(exec_module)
        1    0.000    0.000    0.046    0.046 sqlite_writer.py:19(__exit__)
        1    0.046    0.046    0.046    0.046 {method 'close' of 'sqlite3.Connection' objects}
        3    0.000    0.000    0.034    0.011 __init__.py:1(<module>)
