         54468576 function calls (54468080 primitive calls) in 325.338 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     26/1    0.001    0.000  325.338  325.338 {built-in method builtins.exec}
        1    0.005    0.005  325.338  325.338 main.py:1(<module>)
        1    0.000    0.000  325.276  325.276 main.py:17(main)
        1   35.416   35.416  325.185  325.185 etl_manager.py:14(run)
       81    0.663    0.008  155.475    1.919 etl_manager.py:44(_flush)
       81   13.974    0.173  153.748    1.898 sqlite_writer.py:44(write_batch)
 10000001   67.901    0.000  113.639    0.000 csv_reader.py:15(read)
       81   97.691    1.206   97.691    1.206 {method 'executemany' of 'sqlite3.Cursor' objects}
       82   27.639    0.337   27.639    0.337 {method 'commit' of 'sqlite3.Connection' objects}
 10000000   26.507    0.000   26.507    0.000 <string>:2(__init__)
 10000000   18.193    0.000   18.193    0.000 {built-in method fromtimestamp}
  8000032   14.444    0.000   14.444    0.000 {method 'isoformat' of 'datetime.datetime' objects}
  8000902   10.408    0.000   10.408    0.000 {method 'append' of 'list' objects}
8000985/8000917   10.226    0.000   10.226    0.000 {built-in method builtins.len}
       81    1.064    0.013    1.064    0.013 {method 'clear' of 'list' objects}
   222680    0.622    0.000    1.038    0.000 <frozen codecs>:322(decode)
   222680    0.416    0.000    0.416    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.087    0.087 sqlite_writer.py:19(__exit__)
        1    0.087    0.087    0.087    0.087 {method 'close' of 'sqlite3.Connection' objects}
     45/5    0.001    0.000    0.056    0.011 <frozen importlib._bootstrap>:1349(_find_and_load)
     45/5    0.000    0.000    0.056    0.011 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    90/15    0.000    0.000    0.051    0.003 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     37/8    0.000    0.000    0.051    0.006 <frozen importlib._bootstrap>:911(_load_unlocked)
     23/5    0.000    0.000    0.051    0.010 <frozen importlib._bootstrap_external>:1017(exec_module)
        3    0.000    0.000    0.033    0.011 __init__.py:1(<module>)
       88    0.001    0.000    0.025    0.000 __init__.py:1510(info)
       88    0.001    0.000    0.024    0.000 __init__.py:1641(_log)
       45    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       41    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1548(find_spec)
       41    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1519(_get_spec)
        6    0.000    0.000    0.013    0.002 __init__.py:287(compile)
