         60469805 function calls (60469309 primitive calls) in 376.325 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     26/1    0.001    0.000  376.325  376.325 {built-in method builtins.exec}
        1    0.005    0.005  376.325  376.325 main.py:1(<module>)
        1    0.000    0.000  376.265  376.265 main.py:17(main)
        1   40.345   40.345  376.214  376.214 etl_manager.py:14(run)
      100    0.747    0.007  197.521    1.975 etl_manager.py:44(_flush)
      100   17.168    0.172  195.635    1.956 sqlite_writer.py:44(write_batch)
      100  122.114    1.221  122.114    1.221 {method 'executemany' of 'sqlite3.Cursor' objects}
 10000001   67.348    0.000  112.660    0.000 csv_reader.py:15(read)
      101   38.476    0.381   38.476    0.381 {method 'commit' of 'sqlite3.Connection' objects}
 10000000   26.267    0.000   26.267    0.000 <string>:2(__init__)
 10000000   18.006    0.000   18.006    0.000 {built-in method fromtimestamp}
 10000000   17.876    0.000   17.876    0.000 {method 'isoformat' of 'datetime.datetime' objects}
 10000870   12.915    0.000   12.915    0.000 {method 'append' of 'list' objects}
10000972/10000904   12.744    0.000   12.744    0.000 {built-in method builtins.len}
      100    1.139    0.011    1.139    0.011 {method 'clear' of 'list' objects}
   222680    0.625    0.000    1.039    0.000 <frozen codecs>:322(decode)
   222680    0.414    0.000    0.414    0.000 {built-in method _codecs.utf_8_decode}
     45/5    0.001    0.000    0.055    0.011 <frozen importlib._bootstrap>:1349(_find_and_load)
     45/5    0.000    0.000    0.054    0.011 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    87/12    0.000    0.000    0.051    0.004 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     37/8    0.000    0.000    0.050    0.006 <frozen importlib._bootstrap>:911(_load_unlocked)
     23/5    0.000    0.000    0.049    0.010 <frozen importlib._bootstrap_external>:1017(exec_module)
        1    0.000    0.000    0.049    0.049 sqlite_writer.py:19(__exit__)
        1    0.049    0.049    0.049    0.049 {method 'close' of 'sqlite3.Connection' objects}
        3    0.000    0.000    0.034    0.011 __init__.py:1(<module>)
      108    0.001    0.000    0.031    0.000 __init__.py:1510(info)
      108    0.001    0.000    0.030    0.000 __init__.py:1641(_log)
       45    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       41    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1548(find_spec)
       41    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1519(_get_spec)
      108    0.001    0.000    0.014    0.000 __init__.py:1667(handle)
        6    0.000    0.000    0.013    0.002 __init__.py:287(compile)
        6    0.000    0.000    0.013    0.002 __init__.py:330(_compile)
        6    0.000    0.000    0.013    0.002 _compiler.py:743(compile)
      108    0.001    0.000    0.013    0.000 __init__.py:1721(callHandlers)
      126    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1621(find_spec)
      108    0.001    0.000    0.012    0.000 __init__.py:1011(handle)
        1    0.000    0.000    0.011    0.011 csv_reader.py:1(<module>)
      108    0.001    0.000    0.011    0.000 __init__.py:1139(emit)
       74    0.001    0.000    0.010    0.000 {built-in method builtins.__build_class__}
      108    0.001    0.000    0.010    0.000 __init__.py:1626(makeRecord)
      108    0.003    0.000    0.009    0.000 __init__.py:298(__init__)
        6    0.000    0.000    0.008    0.001 _parser.py:970(parse)
     24/6    0.000    0.000    0.008    0.001 _parser.py:451(_parse_sub)
     33/6    0.002    0.000    0.008    0.001 _parser.py:511(_parse)
        1    0.000    0.000    0.007    0.007 _local.py:1(<module>)
      696    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
      108    0.000    0.000    0.007    0.000 __init__.py:988(format)
      108    0.001    0.000    0.006    0.000 __init__.py:699(format)
        1    0.000    0.000    0.006    0.006 transaction.py:1(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:477(StrFormatStyle)
       23    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1090(get_code)
        1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.005    0.005 <frozen ntpath>:1(<module>)
        6    0.000    0.000    0.005    0.001 _compiler.py:576(_code)
